instance_id,average_message_length,avg_num_words_between_commands,avg_time_between_message_and_command,event_count,message_count,message_to_command_ratio,num_participants,num_turns,num_words_per_turn,ratio_of_commands_without_message
1653718840-26eb6840-30d2-4231-a510-493e98f19b40,1.0,0.2,39.5655677318573,20.0,13.0,0.3076923076923077,2.0,0.0,0.0,0.25
1653817902-15ec25a2-6757-4ceb-ac41-d44352b97705,1.0,0.17647058823529413,89.25462474141803,71.0,46.0,0.34782608695652173,2.0,2.0,0.5,0.125
1653818306-26460642-20fa-4d1f-9152-a53493cf7cb3,1.0,0.2,1.1124989986419678,32.0,23.0,0.17391304347826086,2.0,0.0,0.0,0.75
1653819786-0644834c-bd73-43a3-98bb-6a36fa3c0fca,1.0,0.2,94.11492937803268,67.0,42.0,0.3333333333333333,2.0,1.0,0.0,0.7142857142857143
1653820492-5e967803-0dfc-44a3-aaf6-8a2637750af0,1.0,0.06666666666666667,1.1025400161743164,47.0,25.0,0.56,2.0,0.0,0.0,0.9285714285714286
1653820568-5c545c92-95ac-4c7f-b677-0276489affbe,1.0,0.1111111111111111,1.0815064907073975,48.0,32.0,0.25,2.0,0.0,0.0,0.875
1653820676-2737863e-d1fe-4249-99a2-2fce622a5b73,1.0,0.08333333333333333,0.9700927734375,66.0,44.0,0.25,2.0,0.0,0.0,0.9090909090909091
1653820936-807a2ff0-373e-41bf-854e-6799815211ed,1.0,0.1111111111111111,0.8573365211486816,40.0,24.0,0.3333333333333333,2.0,0.0,0.0,0.875
1653853909-2a642a70-bfca-4daa-8056-61d5198075f9,2.0,1.6666666666666667,1.4528212547302246,28.0,17.0,0.29411764705882354,2.0,0.0,0.0,0.8
1653856349-96235919-cd9d-4a0d-9ea9-9a15cf968979,6.5227272727272725,16.88235294117647,1303.613970398903,120.0,97.0,0.16494845360824742,10.0,0.0,0.0,0.875
1653862941-dcfb4c8f-dc3e-4247-a564-45e1ab536dac,5.520179372197309,13.666666666666666,37.06764806522412,570.0,427.0,0.20843091334894615,6.0,10.0,33.6,0.0
1653865628-e2dd1a3f-5cea-41ba-8e09-cb5785cfc8c7,13.028207774337805,198.7094972067039,113.05141676962376,3622.0,3392.0,0.052476415094339625,26.0,11.0,54.0,0.011235955056179775
1653867360-5be24ba2-a863-4fb2-a8f2-cb026b9ae60a,7.5,35.0,10.8661858354296,76.0,60.0,0.13333333333333333,6.0,1.0,175.0,0.125
1653869455-12ddde04-29c5-4313-ac49-585f2f3bdf19,1.0,0.04878048780487805,1253.4312546771505,159.0,87.0,0.45977011494252873,2.0,12.0,0.08333333333333333,0.425
1653869871-e7fd0606-de62-4688-a55b-ae4c25a14beb,6.010989010989011,17.09375,13.458790373802184,227.0,167.0,0.18562874251497005,6.0,7.0,62.0,0.03225806451612903
1653870265-3912208d-8851-4441-90a7-9473068eb93e,6.428571428571429,7.788461538461538,62.20126746055928,270.0,187.0,0.2727272727272727,4.0,12.0,26.666666666666668,0.0784313725490196
1653872342-35c18832-7164-44a9-84e4-3caa2abf2b03,14.451207243460765,306.79545454545456,117.42218588038189,2270.0,2173.0,0.04003681546249425,26.0,1.0,250.0,0.05747126436781609
1653872783-9c54a62e-974d-4566-9880-b5856a709248,3.976923076923077,7.385714285714286,18.829082291573286,404.0,286.0,0.24125874125874125,5.0,19.0,21.57894736842105,0.07246376811594203
1653872787-dd8c22a6-4f2b-46f9-901a-17c887a64f29,11.449799196787149,93.03921568627452,58.356740562009136,1853.0,1623.0,0.09365372766481823,18.0,32.0,19.1875,0.06578947368421052
1653873309-263815cf-33f0-4ff5-99f2-75f1b74dd662,8.302066772655008,12.580882352941176,173.32396977624776,2182.0,1480.0,0.275,10.0,153.0,21.163398692810457,0.004914004914004914
1653874365-2ac88283-be6f-48ca-b9fd-29f0aa3a4827,4.35064935064935,12.38888888888889,17.49707280363992,748.0,567.0,0.18871252204585537,5.0,26.0,48.0,0.0
1653880651-a1266f79-aee4-42f0-8095-7cbd02cc2623,5.997442455242966,9.00390625,731.6465000465881,1422.0,977.0,0.2610030706243603,13.0,62.0,28.048387096774192,0.050980392156862744
1653881697-8fc615e4-74e5-4e7e-80d5-ddd06e24c662,4.124378109452737,2.7194719471947195,12538.963072595143,1267.0,925.0,0.3264864864864865,59.0,0.0,0.0,0.5132450331125827
1653883916-afa988ab-b04c-4324-8c24-be5f11ac7f6d,14.022140221402214,53.04895104895105,1492.366264615985,1098.0,857.0,0.16569428238039674,9.0,48.0,41.479166666666664,0.02112676056338028
1653883925-befea52f-ddfd-4fb8-986c-c6f58be4032f,5.5,14.793103448275861,24.49253315017337,193.0,142.0,0.19718309859154928,4.0,8.0,45.125,0.25
1653884101-86e9bde5-53dc-49fa-9a8d-4c905596d09c,1.0,0.14285714285714285,1.5216829776763916,28.0,16.0,0.375,2.0,1.0,0.0,0.8333333333333334
